ID	time	flooded
100340-100339	0.000000	0
100341	0.000000	0
100341-100402	0.000000	0
100341-52090	0.000000	0
1004-18854	0.000000	0
100402-100341	0.000000	0
100402-100403	0.000000	0
100403	0.000000	0
100403-100402	0.000000	0
100403-100404	0.000000	0
100404	0.000000	0
100404-100403	0.000000	0
100404-100405	0.000000	0
100405	0.000000	0
100405-100404	0.000000	0
100405-100406	0.000000	0
100406-100079	0.000000	0
100406-100405	0.000000	0
100406-100407	0.000000	0
100406-100409	0.000000	0
100407	0.000000	0
100407-100406	0.000000	0
100408	0.000000	0
100408-100409	0.000000	0
100409-100075	0.000000	0
100409-100406	0.000000	0
100409-100408	0.000000	0
100410	0.000000	0
100410-100000	0.000000	0
100411-13793	0.000000	0
100411-21330	0.000000	0
100412-100055	0.000000	0
100412-100332	0.000000	0
100412-13984	0.000000	0
100413-100180	0.000000	0
100413-100416	0.000000	0
100413-29529	0.000000	0
100414-100247	0.000000	0
100414-100415	0.000000	0
100414-23020	0.000000	0
100415-100249	0.000000	0
100415-100414	0.000000	0
100415-100416	0.000000	0
100416-100174	0.000000	0
100416-100248	0.000000	0
100416-100413	0.000000	0
100416-100415	0.000000	0
100417-100418	0.000000	0
100417-4919	0.000000	0
100418-100417	0.000000	0
100418-100419	0.000000	0
100418-23723	0.000000	0
100419-100418	0.000000	0
100419-100420	0.000000	0
100420	0.000000	0
100420-100419	0.000000	0
100420-100421	0.000000	0
100420-23730	0.000000	0
100421-100420	0.000000	0
100421-100422	0.000000	0
100422-100186	0.000000	0
100422-100421	0.000000	0
100422-23064	0.000000	0
100423-100189	0.000000	0
100423-23730	0.000000	0
100424-100194	0.000000	0
100424-100425	0.000000	0
100424-23723	0.000000	0
100425-100424	0.000000	0
100425-100426	0.000000	0
100425-100428	0.000000	0
100426-100425	0.000000	0
100426-100427	0.000000	0
100427-100426	0.000000	0
100427-100431	0.000000	0
100427-23728	0.000000	0
100428-100425	0.000000	0
100428-100429	0.000000	0
100428-100431	0.000000	0
100429-100194	0.000000	0
100429-100428	0.000000	0
100429-100430	0.000000	0
100430-100429	0.000000	0
100430-100431	0.000000	0
100430-10983	0.000000	0
100431-100427	0.000000	0
100431-100428	0.000000	0
100431-100430	0.000000	0
100432-100433	0.000000	0
100432-24006	0.000000	0
100432-24007	0.000000	0
100433	0.000000	0
100433-100432	0.000000	0
100433-100434	0.000000	0
100434-100433	0.000000	0
100434-100435	0.000000	0
100435-100434	0.000000	0
100435-100436	0.000000	0
100435-100443	0.000000	0
100436-100097	0.000000	0
