SUBSECTOR	GAUGE_ID	ALT_AHD
South Creek B 4	2036	16.476300
South Creek B 1	1441	21.055800
South Creek B 2	2008	15.933300
Box Hill South	489	21.252400
Lower Macdonald	642	4.635729
Penrith D 1	432	27.840000
Penrith D 2	2055	29.020500
Vineyard North 9	1093	20.590000
Vineyard	1122	20.430000
Glenmore Park	414	30.742400
Emu Heights	1222	26.100000
Penrith D 1	432	27.840000
Windsor Central	732	21.360100
Emu Plains North	46	23.230000
Gunderman	1522	1.034492
South Creek B 7	2054	16.252700
South Creek B 5	2053	18.846600
South Creek B 13	1466	14.200000
South Creek B 6	2037	20.220700
Emu Heights	34	26.888700
Mulgrave	1089	19.690000
Central Colo	183	14.927865
Richmond B	1136	21.410000
Eastern Creek A 7	1371	11.000000
South Creek B 13	1466	14.200000
Emu Heights	1509	20.631000
Vineyard North 2	1108	16.070000
Peach Tree Creek West	1508	24.230000
Agnes Banks Lowlands South	892	15.365300
Wisemans Ferry West	582	6.418701
Ebenezer	158	16.526617
Mulgoa North	2001	32.769500
Jamisontown South 1	349	29.050900
Emu Plains Central West	69	27.680000
Vineyard North 1	1410	17.320000
Richmond B	1136	21.410000
Wallacia East	1239	53.150000
Jamisontown South 2	347	29.040200
Londonderry	1160	18.290000
Lower Portland East	602	7.446105
Oakville	534	20.934100
Peach Tree Creek East	313	26.290000
Emu Heights	1449	23.600000
Lower Portland North	611	9.685924
Richmond A Central	281	19.090000
Bligh Park West	941	19.384400
Richmond A West	282	20.620100
Windsor East	957	18.144900
Vineyard North 1	1410	17.320000
Peach Tree Creek East	313	26.290000
Vineyard North 1	1106	18.820000
Penrith B 1	440	27.744600
Mulgrave	1101	13.500000
Agnes Banks Lowlands East	1138	21.480000
Vineyard North 2	1110	15.600000
Emu Plains North	46	23.230000
Penrith D 1	432	27.840000
Wilberforce	138	19.092500
Richmond B	1136	21.410000
Little Cattai	639	16.125114
Colo Heights	458	6.186315
Peach Tree Creek West	837	26.790000
Yarramundi	933	20.141800
North Penrith B 5	2040	24.259700
Eastern Creek C	915	20.885300
Vineyard North 4	1119	19.800000
Vineyard	1123	21.110000
Bligh Park East	749	20.948300
Vineyard North 9	2032	20.623600
Vineyard North 7	2035	17.334700
Vineyard North 8	2028	18.381800
Vineyard North 5	1112	19.950000
Vineyard North 6	1113	19.170000
Emu Plains South 1	93	26.970600
Vineyard North 3	1121	18.950600
Leonay Central	1022	29.381600
Vineyard North 4	1119	19.800000
Penrith Lakes Central 2	1415	23.874000
Wallacia Weir	1511	33.900000
Emu Plains South 3	100	27.697700
Vineyard North 1	1424	19.703200
Emu Plains South 4	96	28.498800
Vineyard North 2	1109	16.330000
Windsor Downs 9	2044	19.160000
Llandilo	1430	21.272200
Windsor Downs 8	2034	17.405100
Windsor Downs 7	2050	17.987900
Windsor Downs 6	2043	18.001700
Marsden Park North 4	905	21.305100
Windsor Downs 4	2027	17.370900
Marsden Park North 3	908	20.729600
Marsden Park North 2	903	18.922100
Peach Tree Creek West	1508	24.230000
Clarendon	1409	16.848000
Marsden Park North 1	1183	15.870000
North Penrith B 2	864	25.072900
North Penrith B 1	869	27.227000
North Penrith B 4	863	27.109700
North Penrith B 3	995	26.620600
Wallacia Central	1510	35.130000
Hobartville A	194	21.469600
Wallacia Central	1510	35.130000
Londonderry	1161	18.180000
Hobartville B	196	19.907800
Londonderry	1160	18.290000
Pitt Town South East	1047	20.037100
Emu Plains Central West	1221	27.380000
Cattai	527	20.457800
Grono's Point	150	17.491400
Windsor	960	18.473300
Regentville E	325	27.440200
Mulgrave	1101	13.500000
Pitt Town East	756	18.689900
Vineyard North 6	1113	19.170000
Penrith C2	438	29.230000
Jamisontown East 1	825	26.518100
Jamisontown East 3	824	28.808500
Jamisontown East 2	826	27.857800
LeetsVale South	591	5.456619
McGraths Hill	1453	13.500000
Vineyard North 4	1119	19.800000
McGraths Hill	1096	16.650000
Vineyard North 2	1107	13.600000
North Richmond Lowlands	237	18.427400
Jamisontown East 4	827	29.605000
Lower Portland West	177	7.043936
Vineyard North 6	1113	19.170000
Sackville North	623	13.419836
Regentville B	330	27.698800
Regentville D	324	27.700000
McGraths Hill	1453	13.500000
Berkshire Park	364	20.979600
